joint_0_angle,joint_1_angle,joint_2_angle,joint_3_angle,joint_0_torque,joint_1_torque,joint_2_torque,joint_3_torque
-3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,-246706.5472535985,-630025.0286188679,-3644.9073546718723,-47242.885777829775
-3.141592653589793,-3.141592653589793,-3.141592653589793,-2.443460952792061,-246707.92431600628,-632456.0424667626,-3644.9039102204715,-33242.99289552964
-3.141592653589793,-3.141592653589793,-3.141592653589793,-1.7453292519943295,-246711.41116042473,-632456.0424667626,-3644.9039102204715,-19247.531599686266
-3.141592653589793,-3.141592653589793,-3.141592653589793,-1.0471975511965979,-246715.3762535985,-632456.0424667626,-3644.9039102204715,-5252.548552598188
-3.141592653589793,-3.141592653589793,-3.141592653589793,-0.34906585039886595,-246717.96428436443,-632456.0424667626,-3644.9039102204715,-5.531030765945857
-3.141592653589793,-3.141592653589793,-3.141592653589793,0.34906585039886595,-246717.96428436443,-632456.0424667626,-3644.9039102204715,-5.531030765945857
-3.141592653589793,-3.141592653589793,-3.141592653589793,1.0471975511965974,-246715.3762535985,-632456.0424667626,-3644.9039102204715,5246.662552598178
-3.141592653589793,-3.141592653589793,-3.141592653589793,1.7453292519943293,-246711.41116042473,-632456.0424667626,-3644.9039102204715,19249.57578603375
-3.141592653589793,-3.141592653589793,-3.141592653589793,2.443460952792061,-246707.92431600628,-632456.0424667626,-3644.9039102204715,33252.010770714034
-3.141592653589793,-3.141592653589793,-3.141592653589793,3.141592653589793,-246706.5472535985,-629993.414860638,-3644.9107526556945,47250.00654914138
-3.141592653589793,-3.141592653589793,-2.443460952792061,-3.141592653589793,-246706.5472535985,-630025.0286188613,-2024.9509206126554,-42345.58988431137
-3.141592653589793,-3.141592653589793,-2.443460952792061,-2.443460952792061,-246707.92431600628,-632456.042466756,-2027.3794295743808,-33244.04778653497
-3.141592653589793,-3.141592653589793,-2.443460952792061,-1.7453292519943295,-246711.41116042473,-632456.042466756,-2028.6734449573535,-19247.770724063914
-3.141592653589793,-3.141592653589793,-2.443460952792061,-1.0471975511965979,-246715.3762535985,-632456.042466756,-2028.224038131101,-5251.860021394286
-3.141592653589793,-3.141592653589793,-2.443460952792061,-0.34906585039886595,-246717.96428436443,-632456.042466756,-2026.2414915442273,-4.237015382972929
-3.141592653589793,-3.141592653589793,-2.443460952792061,0.34906585039886595,-246717.96428436443,-632456.042466756,-2023.6534607782814,-4.237015382972929
-3.141592653589793,-3.141592653589793,-2.443460952792061,1.0471975511965974,-246715.3762535985,-632456.042466756,-2021.6709141914077,5247.351083802079
-3.141592653589793,-3.141592653589793,-2.443460952792061,1.7453292519943293,-246711.41116042473,-632456.042466756,-2021.2215073651553,19249.336661656103
-3.141592653589793,-3.141592653589793,-2.443460952792061,2.443460952792061,-246707.92431600628,-632456.042466756,-2022.5155227481284,33250.95587970871
-3.141592653589793,-3.141592653589793,-2.443460952792061,3.141592653589793,-246706.5472535985,-629993.4148606313,-2024.9543185964774,52126.97998551827
-3.141592653589793,-3.141592653589793,-1.7453292519943295,-3.141592653589793,-246706.5472535985,-631805.9719057934,-405.11423627666096,-39741.46089346301
-3.141592653589793,-3.141592653589793,-1.7453292519943295,-2.443460952792061,-246707.92431600628,-634236.9857536883,-408.8367606213591,-33246.71886432574
-3.141592653589793,-3.141592653589793,-1.7453292519943295,-1.7453292519943295,-246711.41116042473,-634236.9857536883,-410.81930720823283,-19248.376208242986
-3.141592653589793,-3.141592653589793,-1.7453292519943295,-1.0471975511965979,-246715.3762535985,-634236.9857536883,-410.130776004332,-5250.116599185061
-3.141592653589793,-3.141592653589793,-1.7453292519943295,-0.34906585039886595,-246717.96428436443,-634236.9857536883,-407.0933384121337,-0.9604534131262241
-3.141592653589793,-3.141592653589793,-1.7453292519943295,0.34906585039886595,-246717.96428436443,-634236.9857536883,-403.12824523838617,-0.9604534131262232
-3.141592653589793,-3.141592653589793,-1.7453292519943295,1.0471975511965974,-246715.3762535985,-634236.9857536883,-400.09080764618784,5249.0945060113045
-3.141592653589793,-3.141592653589793,-1.7453292519943295,1.7453292519943293,-246711.41116042473,-634236.9857536883,-399.402276442287,19248.73117747703
-3.141592653589793,-3.141592653589793,-1.7453292519943295,2.443460952792061,-246707.92431600628,-634236.9857536883,-401.38482302916077,33248.28480191794
-3.141592653589793,-3.141592653589793,-1.7453292519943295,3.141592653589793,-246706.5472535985,-631805.9719057934,-405.11423627666056,54751.43905330426
-3.141592653589793,-3.141592653589793,-1.0471975511965979,-3.141592653589793,-246706.5472535985,-631805.9719057879,-0.12512776181039278,-40648.99970177207
-3.141592653589793,-3.141592653589793,-1.0471975511965979,-2.443460952792061,-246707.92431600628,-634236.9857536827,-3.398245280255118,-33249.756301917936
-3.141592653589793,-3.141592653589793,-1.0471975511965979,-1.7453292519943295,-246711.41116042473,-634236.9857536827,-5.141667489480492,-19249.064739446887
-3.141592653589793,-3.141592653589793,-1.0471975511965979,-1.0471975511965979,-246715.3762535985,-634236.9857536827,-4.53618331040841,-5248.134052598188
-3.141592653589793,-3.141592653589793,-1.0471975511965979,-0.34906585039886595,-246717.96428436443,-634236.9857536827,-1.8651055196337902,2.7655153829729286
-3.141592653589793,-3.141592653589793,-1.0471975511965979,0.34906585039886595,-246717.96428436443,-634236.9857536827,1.6217388988169634,2.7655153829729286
-3.141592653589793,-3.141592653589793,-1.0471975511965979,1.0471975511965974,-246715.3762535985,-634236.9857536827,4.2928166895915885,5251.077052598178
-3.141592653589793,-3.141592653589793,-1.0471975511965979,1.7453292519943293,-246711.41116042473,-634236.9857536827,4.8983008686636715,19248.04264627313
-3.141592653589793,-3.141592653589793,-1.0471975511965979,2.443460952792061,-246707.92431600628,-634236.9857536827,3.1548786594382916,33245.24736432574
-3.141592653589793,-3.141592653589793,-1.0471975511965979,3.141592653589793,-246706.5472535985,-631805.9719057877,-0.1251277618091052,53843.90024499501
-3.141592653589793,-3.141592653589793,-0.34906585039886595,-3.141592653589793,-246706.5472535985,-631805.971905821,-0.12512776183180008,-44643.55881466061
-3.141592653589793,-3.141592653589793,-0.34906585039886595,-2.443460952792061,-246707.92431600628,-634236.9857537157,-1.415698693402896,-33251.738848504814
-3.141592653589793,-3.141592653589793,-0.34906585039886595,-1.7453292519943295,-246711.41116042473,-634236.9857537157,-2.104229897303743,-19249.514146273137
-3.141592653589793,-3.141592653589793,-0.34906585039886595,-1.0471975511965979,-246715.3762535985,-634236.9857537157,-1.8651055196553386,-5246.840037215215
-3.141592653589793,-3.141592653589793,-0.34906585039886595,-0.34906585039886595,-246717.96428436443,-634236.9857537157,-0.8102145143308123,5.1974687960991535
-3.141592653589793,-3.141592653589793,-0.34906585039886595,0.34906585039886595,-246717.96428436443,-634236.9857537157,0.5668478934708832,5.1974687960991535
-3.141592653589793,-3.141592653589793,-0.34906585039886595,1.0471975511965974,-246715.3762535985,-634236.9857537157,1.6217388987954093,5252.371067981151
-3.141592653589793,-3.141592653589793,-0.34906585039886595,1.7453292519943293,-246711.41116042473,-634236.9857537157,1.8608632764438096,19247.59323944688
-3.141592653589793,-3.141592653589793,-0.34906585039886595,2.443460952792061,-246707.92431600628,-634236.9857537157,1.1723320725429618,33243.26481773886
-3.141592653589793,-3.141592653589793,-0.34906585039886595,3.141592653589793,-246706.5472535985,-631805.971905821,-0.1251277618307969,49849.34113210698
-3.141592653589793,-3.141592653589793,0.34906585039886595,-3.141592653589793,-246706.5472535985,-631805.9719058545,-0.1251277618033944,-49856.039628628634
-3.141592653589793,-3.141592653589793,0.34906585039886595,-2.443460952792061,-246707.92431600628,-634236.9857537493,1.1723320725710695,-33251.738848504814
-3.141592653589793,-3.141592653589793,0.34906585039886595,-1.7453292519943295,-246711.41116042473,-634236.9857537493,1.8608632764719175,-19249.514146273137
-3.141592653589793,-3.141592653589793,0.34906585039886595,-1.0471975511965979,-246715.3762535985,-634236.9857537493,1.621738898823523,-5246.840037215215
-3.141592653589793,-3.141592653589793,0.34906585039886595,-0.34906585039886595,-246717.96428436443,-634236.9857537493,0.5668478934989912,5.1974687960991535
-3.141592653589793,-3.141592653589793,0.34906585039886595,0.34906585039886595,-246717.96428436443,-634236.9857537493,-0.810214514302704,5.1974687960991535
-3.141592653589793,-3.141592653589793,0.34906585039886595,1.0471975511965974,-246715.3762535985,-634236.9857537493,-1.8651055196272348,5252.371067981151
-3.141592653589793,-3.141592653589793,0.34906585039886595,1.7453292519943293,-246711.41116042473,-634236.9857537493,-2.104229897275635,19247.59323944688
-3.141592653589793,-3.141592653589793,0.34906585039886595,2.443460952792061,-246707.92431600628,-634236.9857537493,-1.4156986933747882,33243.26481773886
-3.141592653589793,-3.141592653589793,0.34906585039886595,3.141592653589793,-246706.5472535985,-631805.9719058545,-0.1251277618027836,44636.86031813921
-3.141592653589793,-3.141592653589793,1.0471975511965974,-3.141592653589793,-246706.5472535985,-631805.9719058565,-0.12512776182753385,-53847.46444054928
-3.141592653589793,-3.141592653589793,1.0471975511965974,-2.443460952792061,-246707.92431600628,-634236.9857537511,3.1548786594205795,-33249.756301917936
-3.141592653589793,-3.141592653589793,1.0471975511965974,-1.7453292519943295,-246711.41116042473,-634236.9857537511,4.898300868645956,-19249.064739446887
-3.141592653589793,-3.141592653589793,1.0471975511965974,-1.0471975511965979,-246715.3762535985,-634236.9857537511,4.292816689573875,-5248.134052598188
-3.141592653589793,-3.141592653589793,1.0471975511965974,-0.34906585039886595,-246717.96428436443,-634236.9857537511,1.6217388987992511,2.7655153829729304
-3.141592653589793,-3.141592653589793,1.0471975511965974,0.34906585039886595,-246717.96428436443,-634236.9857537511,-1.8651055196515018,2.7655153829729304
-3.141592653589793,-3.141592653589793,1.0471975511965974,1.0471975511965974,-246715.3762535985,-634236.9857537511,-4.53618331042612,5251.077052598178
-3.141592653589793,-3.141592653589793,1.0471975511965974,1.7453292519943293,-246711.41116042473,-634236.9857537511,-5.141667489498204,19248.04264627313
-3.141592653589793,-3.141592653589793,1.0471975511965974,2.443460952792061,-246707.92431600628,-634236.9857537511,-3.39824528027283,33245.24736432574
-3.141592653589793,-3.141592653589793,1.0471975511965974,3.141592653589793,-246706.5472535985,-631805.9719058564,-0.12512776182794688,40645.435506218186
-3.141592653589793,-3.141592653589793,1.7453292519943293,-3.141592653589793,-246706.5472535985,-631805.9719058367,404.8639807530432,-54750.201221178795
-3.141592653589793,-3.141592653589793,1.7453292519943293,-2.443460952792061,-246707.92431600628,-634236.9857537315,408.5933940005443,-33246.71886432574
-3.141592653589793,-3.141592653589793,1.7453292519943293,-1.7453292519943295,-246711.41116042473,-634236.9857537315,410.5759405874181,-19248.376208242986
-3.141592653589793,-3.141592653589793,1.7453292519943293,-1.0471975511965979,-246715.3762535985,-634236.9857537315,409.88740938351725,-5250.116599185061
-3.141592653589793,-3.141592653589793,1.7453292519943293,-0.34906585039886595,-246717.96428436443,-634236.9857537316,406.8499717913189,-0.9604534131262223
-3.141592653589793,-3.141592653589793,1.7453292519943293,0.34906585039886595,-246717.96428436443,-634236.9857537316,402.8848786175714,-0.9604534131262223
-3.141592653589793,-3.141592653589793,1.7453292519943293,1.0471975511965974,-246715.3762535985,-634236.9857537315,399.8474410253731,5249.0945060113045
-3.141592653589793,-3.141592653589793,1.7453292519943293,1.7453292519943293,-246711.41116042473,-634236.9857537315,399.15890982147226,19248.73117747703
-3.141592653589793,-3.141592653589793,1.7453292519943293,2.443460952792061,-246707.92431600628,-634236.9857537315,401.141456408346,33248.28480191794
-3.141592653589793,-3.141592653589793,1.7453292519943293,3.141592653589793,-246706.5472535985,-631774.3581476068,404.86058276922273,39773.83594439692
-3.141592653589793,-3.141592653589793,2.443460952792061,-3.141592653589793,-246706.5472535985,-630025.0286188407,2024.9401645359728,-52141.84939805916
-3.141592653589793,-3.141592653589793,2.443460952792061,-2.443460952792061,-246707.92431600628,-632456.0424667355,2027.3755624005005,-33244.04778653497
-3.141592653589793,-3.141592653589793,2.443460952792061,-1.7453292519943295,-246711.41116042473,-632456.0424667355,2028.6695777834734,-19247.770724063914
-3.141592653589793,-3.141592653589793,2.443460952792061,-1.0471975511965979,-246715.3762535985,-632456.0424667355,2028.220170957221,-5251.860021394286
-3.141592653589793,-3.141592653589793,2.443460952792061,-0.34906585039886595,-246717.96428436443,-632456.0424667355,2026.2376243703472,-4.237015382972929
-3.141592653589793,-3.141592653589793,2.443460952792061,0.34906585039886595,-246717.96428436443,-632456.0424667355,2023.6495936044014,-4.237015382972929
-3.141592653589793,-3.141592653589793,2.443460952792061,1.0471975511965974,-246715.3762535985,-632456.0424667355,2021.6670470175277,5247.351083802079
-3.141592653589793,-3.141592653589793,2.443460952792061,1.7453292519943293,-246711.41116042473,-632456.0424667355,2021.2176401912752,19249.336661656103
-3.141592653589793,-3.141592653589793,2.443460952792061,2.443460952792061,-246707.92431600628,-632456.0424667355,2022.5116555742482,33250.95587970871
-3.141592653589793,-3.141592653589793,2.443460952792061,3.141592653589793,-246706.5472535985,-629993.4148606109,2024.936766552152,42371.36895144028
-3.141592653589793,-3.141592653589793,3.141592653589793,-3.141592653589793,-246706.5472535985,-630025.0286188679,3644.896598595501,-47242.885777829775
-3.141592653589793,-3.141592653589793,3.141592653589793,-2.443460952792061,-246707.92431600628,-632456.0424667626,3644.900043046902,-33242.99289552964
-3.141592653589793,-3.141592653589793,3.141592653589793,-1.7453292519943295,-246711.41116042473,-632456.0424667626,3644.900043046902,-19247.531599686266
-3.141592653589793,-3.141592653589793,3.141592653589793,-1.0471975511965979,-246715.3762535985,-632456.0424667626,3644.900043046902,-5252.548552598188
-3.141592653589793,-3.141592653589793,3.141592653589793,-0.34906585039886595,-246717.96428436443,-632456.0424667626,3644.900043046902,-5.531030765945857
-3.141592653589793,-3.141592653589793,3.141592653589793,0.34906585039886595,-246717.96428436443,-632456.0424667626,3644.900043046902,-5.531030765945857
-3.141592653589793,-3.141592653589793,3.141592653589793,1.0471975511965974,-246715.3762535985,-632456.0424667626,3644.900043046902,5246.662552598178
-3.141592653589793,-3.141592653589793,3.141592653589793,1.7453292519943293,-246711.41116042473,-632456.0424667626,3644.900043046902,19249.57578603375
-3.141592653589793,-3.141592653589793,3.141592653589793,2.443460952792061,-246707.92431600628,-632456.0424667626,3644.900043046902,33252.010770714034
-3.141592653589793,-3.141592653589793,3.141592653589793,3.141592653589793,-246706.5472535985,-629993.414860638,3644.893200611679,47250.00654914138
-3.141592653589793,-2.443460952792061,-3.141592653589793,-3.141592653589793,-246702.6450434056,-436116.15638878907,-3643.597800862143,-47240.65452284931
-3.141592653589793,-2.443460952792061,-3.141592653589793,-2.443460952792061,-246703.69993441095,-432387.22105587623,-3643.5436121556186,-33242.99289552964
-3.141592653589793,-2.443460952792061,-3.141592653589793,-1.7453292519943295,-246706.3710122017,-432387.22105587623,-3643.5436121556186,-19247.531599686266
-3.141592653589793,-2.443460952792061,-3.141592653589793,-1.0471975511965979,-246709.40844979393,-432387.22105587623,-3643.5436121556177,-5252.548552598188
-3.141592653589793,-2.443460952792061,-3.141592653589793,-0.34906585039886595,-246711.39099638077,-432387.22105587623,-3643.5436121556177,-5.531030765945861
-3.141592653589793,-2.443460952792061,-3.141592653589793,0.34906585039886595,-246711.39099638077,-432387.22105587623,-3643.5436121556177,-5.531030765945861
-3.141592653589793,-2.443460952792061,-3.141592653589793,1.0471975511965974,-246709.40844979393,-432387.22105587623,-3643.5436121556177,5246.662552598178
-3.141592653589793,-2.443460952792061,-3.141592653589793,1.7453292519943293,-246706.3710122017,-432387.22105587623,-3643.5436121556186,19249.57578603375
-3.141592653589793,-2.443460952792061,-3.141592653589793,2.443460952792061,-246703.69993441095,-432387.22105587623,-3643.5436121556168,33252.010770714034
-3.141592653589793,-2.443460952792061,-3.141592653589793,3.141592653589793,-246702.6450434056,-436116.1578990863,-3643.5436478934894,47252.33591366565
-3.141592653589793,-2.443460952792061,-2.443460952792061,-3.141592653589793,-246702.64504340562,-436116.15638878907,-2023.6413668027365,-54073.465154911435
-3.141592653589793,-2.443460952792061,-2.443460952792061,-2.443460952792061,-246702.13670488965,-432387.22105587623,-2026.0191315093405,-33244.04778653497
-3.141592653589793,-2.443460952792061,-2.443460952792061,-1.7453292519943295,-246703.97600562556,-432387.22105587623,-2027.3131468923134,-19247.770724063914
-3.141592653589793,-2.443460952792061,-2.443460952792061,-1.0471975511965979,-246707.30231635732,-432387.22105587623,-2026.863740066061,-5251.860021394286
-3.141592653589793,-2.443460952792061,-2.443460952792061,-0.34906585039886595,-246710.55921932592,-432387.22105587623,-2024.8811934791863,-4.237015382972928
-3.141592653589793,-2.443460952792061,-2.443460952792061,0.34906585039886595,-246712.2227734357,-432387.22105587623,-2022.2931627132405,-4.237015382972924
-3.141592653589793,-2.443460952792061,-2.443460952792061,1.0471975511965974,-246711.5145832305,-432387.22105587623,-2020.3106161263677,5247.351083802079
-3.141592653589793,-2.443460952792061,-2.443460952792061,1.7453292519943293,-246708.76601877794,-432387.22105587623,-2019.8612093001152,19249.336661656103
-3.141592653589793,-2.443460952792061,-2.443460952792061,2.443460952792061,-246705.26316393225,-432387.22105587623,-2021.1552246830872,33250.95587970871
-3.141592653589793,-2.443460952792061,-2.443460952792061,3.141592653589793,-246702.64504340562,-436116.15789903613,-2023.587437050174,40419.502362975705
-3.141592653589793,-2.443460952792061,-1.7453292519943295,-3.141592653589793,-246703.8481232959,-436116.15867240704,-403.630779774685,-57711.826036810744
-3.141592653589793,-2.443460952792061,-1.7453292519943295,-2.443460952792061,-246702.50800772503,-432387.22182919696,-407.356712832911,-33246.71886432574
-3.141592653589793,-2.443460952792061,-1.7453292519943295,-1.7453292519943295,-246703.9047291341,-432387.22182919696,-409.33925941978475,-19248.376208242986
-3.141592653589793,-2.443460952792061,-1.7453292519943295,-1.0471975511965979,-246707.38474605314,-432387.22182919696,-408.65072821588393,-5250.116599185061
-3.141592653589793,-2.443460952792061,-1.7453292519943295,-0.34906585039886595,-246711.3197198894,-432387.22182919696,-405.6132906236865,-0.9604534131262246
-3.141592653589793,-2.443460952792061,-1.7453292519943295,0.34906585039886595,-246713.86843265282,-432387.22182919696,-401.6481974499381,-0.9604534131262232
-3.141592653589793,-2.443460952792061,-1.7453292519943295,1.0471975511965974,-246713.83831331538,-432387.22182919696,-398.61075985773977,5249.0945060113045
-3.141592653589793,-2.443460952792061,-1.7453292519943295,1.7453292519943293,-246711.24345504987,-432387.22182919696,-397.92222865383894,19248.73117747703
-3.141592653589793,-2.443460952792061,-1.7453292519943295,2.443460952792061,-246707.2980208775,-432387.22182919696,-399.9047752407127,33248.28480191794
-3.141592653589793,-2.443460952792061,-1.7453292519943295,3.141592653589793,-246703.8481232959,-436116.1571621098,-403.6849327433366,36781.06043705281
-3.141592653589793,-2.443460952792061,-1.0471975511965979,-3.141592653589793,-246703.8481232959,-436116.1571621099,1.304175771278332,-56453.341790619364
-3.141592653589793,-2.443460952792061,-1.0471975511965979,-2.443460952792061,-246702.79688086465,-432387.2218291971,-1.9181974920448601,-33249.756301917936
-3.141592653589793,-2.443460952792061,-1.0471975511965979,-1.7453292519943295,-246704.34730846094,-432387.2218291971,-3.6616197012702383,-19249.064739446887
-3.141592653589793,-2.443460952792061,-1.0471975511965979,-1.0471975511965979,-246707.77394378124,-432387.2218291971,-3.0561355221981614,-5248.134052598188
-3.141592653589793,-2.443460952792061,-1.0471975511965979,-0.34906585039886595,-246711.47342607658,-432387.2218291971,-0.3850577314235344,2.765515382972925
-3.141592653589793,-2.443460952792061,-1.0471975511965979,0.34906585039886595,-246713.7147264656,-432387.2218291971,3.1017866870272184,2.765515382972925
